Изображения,Название,Артикул,Цена,Валюта,Наличие,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Производительность,Потребляемая мощность,Максимальная загрузка
https://cdn.entero.ru/mp@2x/67/b3/67b3f1f21186a97d39316b9c988ba36d.jpg;https://cdn.entero.ru/mp@2x/cb/78/cb78a45eea6188ce727ed66ebbe807c1.jpg,Печь для обжарки какао Kadzama 3 кг,Печь для обжарки какао Kadzama 3 кг,0,RUB,Нет,Профоборудование,Оборудование для шоколада,Печи для обжарки какао,https://entero.ru/item/231951,"<p>Печь для обжарки какао <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/231951"">Kadzama 3 кг</a></b> предназначена для быстрой и равномерной обжарки какао-бобов и орехов на предприятиях общественного питания и торговли. Модель оснащена интеллектуальной системой управления при помощи встроенного компьютера. Оборудование выполнено из стали и нержавеющей стали AISI 304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Технология обжарки горячим воздухом без соприкосновения с нагревающими элементами</li>
<li>Автоматическое перемешивание</li>
<li>Запрограммированные профили обжарки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время обжарки какао-бобов: от 7 до 8 мин.</li>
<li>Габариты в упаковке: 1620х1220х1870 мм</li>
</ul>",231951,380 В,1050 мм,1395 мм,1800 мм,300 кг,1,1620x1220x1870 мм,0,https://vk.com/video_ext.php?oid=-177656185&id=456239243&hd=2&autoplay=0,280 кг,Россия,Россия,от 18 до 25 кг/час,12 кВт,3 кг
https://cdn.entero.ru/mp@2x/01/0a/010ae72c5b7fc3f2c413640758017fd7.jpg;https://cdn.entero.ru/mp@2x/89/99/89993a0ee5434e82e75415558bda7d8f.jpg;https://cdn.entero.ru/mp@2x/fd/32/fd3282b36045b01e3a378201e4fb38fe.jpg,Печь для обжарки какао Kadzama 10 кг электрическая,Печь для обжарки какао Kadzama 10 кг электрическая,0,RUB,Нет,Профоборудование,Оборудование для шоколада,Печи для обжарки какао,https://entero.ru/item/231952,"<p>Печь для обжарки какао <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/231952""><b class=""b"">Kadzama 10 кг электрическая</b></a> предназначена для быстрой и равномерной обжарки какао-бобов и орехов на предприятиях общественного питания и торговли. Модель оснащена интеллектуальной системой управления при помощи встроенного компьютера. Оборудование выполнено из стали и нержавеющей стали AISI 304.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Технология обжарки горячим воздухом без соприкосновения с нагревающими элементами</li>
<li>Автоматическое перемешивание</li>
<li>Запрограммированные профили обжарки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 70 кг/ч</li>
<li>Разовая загрузка: от 6 до 10 кг</li>
<li>Габариты в упаковке: 3150х1225х2201 мм</li>
</ul>",231952,380 В,1130 мм,3010 мм,2060 мм,1200 кг,1,3150x1225x2201 мм,0,,1070 кг,Россия,Россия,от 50 до 70 кг/час,13 кВт,10 кг
